command;intent
clean the red_sneaker_1 with the cleaner_1 that is at least 10% full;CLEAN
use the brush with minimum 15% full to clean the s2;CLEAN
please wash the black suede sandal using a cleaning rag that is 20 percent full;CLEAN
remove dirt from the white shoe with cleaner_4 which is more than 25% full;CLEAN
clean the brown_sneaker_5 with the brush with at least 30% full left;CLEAN
use the cleaning rag that is at least 40 percent full to clean the s6;CLEAN
please wash the yellow suede sandal using a cleaner_7 with minimum 50% full;CLEAN
remove dirt from the red shoe with brush that is 60% full;CLEAN
clean the blue_sneaker_9 with the cleaning rag which is more than 70 percent full;CLEAN
use the cleaner_2 with at least 80% full left to clean the s_3;CLEAN
please wash the white suede sandal using a brush that is at least 90% full;CLEAN
remove dirt from the brown shoe with cleaning rag with minimum 10 percent full;CLEAN
clean the green_sneaker_4 with the cleaner_5 that is 15% full;CLEAN
use the brush which is more than 20 % full to clean the s_7;CLEAN
please wash the red suede sandal using a cleaning rag with at least 25 percent full left;CLEAN
remove dirt from the blue shoe with cleaner_8 that is at least 30 % full;CLEAN
clean the black_sneaker_8 with the brush with minimum 40% full;CLEAN
use the cleaning rag that is 50 percent full to clean the s4;CLEAN
please wash the brown suede sandal using a cleaner3 which is more than 60% full;CLEAN
remove dirt from the green shoe with brush with at least 70% full left;CLEAN
clean the yellow_sneaker_3 with the cleaning rag that is at least 80 percent full;CLEAN
use the cleaner_6 with minimum 90% full to clean the s_1;CLEAN
please wash the blue suede sandal using a brush that is 10% full;CLEAN
remove dirt from the black shoe with cleaning rag which is more than 15 percent full;CLEAN
clean the white_sneaker7 with the cleaner_1 with at least 20% full left;CLEAN
use the brush that is at least 25% full to clean the s_5;CLEAN
please wash the green suede sandal using a cleaning rag with minimum 30 percent full;CLEAN
remove dirt from the yellow shoe with cleaner4 that is 40% full;CLEAN
clean the red_sneaker_2 with the brush which is more than 50% full;CLEAN
use the cleaning rag with at least 60 percent full left to clean the s2;CLEAN
please wash the black suede sandal using a cleaner7 that is at least 70% full;CLEAN
remove dirt from the white shoe with brush with minimum 80% full;CLEAN
clean the brown_sneaker6 with the cleaning rag that is 90 percent full;CLEAN
use the cleaner_2 which is more than 10% full to clean the s6;CLEAN
impregnate the green_sneaker5 with the spray that is at least 60% full;IMPREGNATE
make the s_7 waterproof using impregnation cream with minimum 70 percent full;IMPREGNATE
protect the red suede sandal with a spray3 that is 80% full;IMPREGNATE
use cream which is more than 90% full on the blue shoe;IMPREGNATE
impregnate the black_sneaker_9 with the impregnation spray with at least 10 percent full left;IMPREGNATE
make the s_4 waterproof using cream6 that is at least 15% full;IMPREGNATE
protect the brown suede sandal with a spray with minimum fullness 20%;IMPREGNATE
use impregnation cream that is 25 percent full on the green shoe;IMPREGNATE
impregnate the yellow_sneaker_4 with the spray_1 which is more than 30% full;IMPREGNATE
make the s_1 waterproof using cream with at least 40% full left;IMPREGNATE
protect the blue suede sandal with a impregnation spray that is at least 50 percent full;IMPREGNATE
use cream_4 with minimum 60% full on the black shoe;IMPREGNATE
impregnate the white_sneaker8 with the spray that is 70% full;IMPREGNATE
make the s_5 waterproof using impregnation cream which is more than 80 percent full;IMPREGNATE
protect the green suede sandal with a spray_7 with at least 90% full left;IMPREGNATE
use cream that is at least 10% full on the yellow shoe;IMPREGNATE
impregnate the red_sneaker_3 with the impregnation spray with minimum 15 percent full;IMPREGNATE
make the s_2 waterproof using cream2 that is 20% full;IMPREGNATE
protect the black suede sandal with a spray which is more than 25% full;IMPREGNATE
use impregnation cream with at least 30 percent full left on the white shoe;IMPREGNATE
impregnate the brown_sneaker_7 with the spray_5 that is at least 40 % full;IMPREGNATE
make the s_6 waterproof using cream with minimum 50% full;IMPREGNATE
protect the yellow suede sandal with a impregnation spray that is 60 percent full;IMPREGNATE
use cream_8 which is more than 70% full on the red shoe;IMPREGNATE
impregnate the blue_sneaker_2 with the spray with at least 80% full left;IMPREGNATE
make the s_3 waterproof using impregnation cream that is at least 90 percent full;IMPREGNATE
protect the white suede sandal with a spray3 with minimum 10% full;IMPREGNATE
use cream that is 15% full on the brown shoe;IMPREGNATE
impregnate the green_sneaker_6 with the impregnation spray which is more than 20 percent full;IMPREGNATE
make the s_7 waterproof using cream_6 with at least 25% full left;IMPREGNATE
protect the red suede sandal with a spray that is at least 30% full;IMPREGNATE
use impregnation cream with minimum 40 percent full on the blue shoe;IMPREGNATE
impregnate the black_sneaker_1 with the spray_1 that is 50 % full;IMPREGNATE
repair the sole of the white_sneaker_9 with the needle_and_yarn1 that is maximal 25% damaged;REPAIR
fix the s_5 using sole hammer with at most 30 percent damage;REPAIR
restore the material of the green suede sandal with sole_glue that has maximum 40% damage;REPAIR
use the repair tool which is less than 50 % damaged to repair the yellow shoe;REPAIR
repair the sole of the red_sneaker4 with the sole_hammer_5 that is 60 percent damaged;REPAIR
fix the s_2 using sole glue that is maximal 70% damaged;REPAIR
restore the material of the black suede sandal with needle_and_yarn with at most 80% damaged;REPAIR
use the repair tool that has maximum 90 percent damage to repair the white shoe;REPAIR
repair the sole of the brown_sneaker8 with the sole_glue_1 which is less than 10% damaged;REPAIR
fix the s_6 using needle and yarn that is 15% damaged;REPAIR
restore the material of the yellow suede sandal with sole_hammer that is maximal 20 percent damage;REPAIR
use the repair tool with at most 25 % damage to repair the red shoe;REPAIR
repair the sole of the blue_sneaker3 with the needle_and_yarn_5 that has maximum 30% damage;REPAIR
fix the s_3 using sole hammer which is less than 40 percent damage;REPAIR
restore the material of the white suede sandal with sole_glue that is 50% damaged;REPAIR
use the repair tool that is maximal 60% damaged to repair the brown shoe;REPAIR
repair the sole of the green_sneaker_7 with the sole_hammer_1 with at most 70 percent damage;REPAIR
fix the s_7 using sole glue that has maximum 80% damage;REPAIR
restore the material of the red suede sandal with needle_and_yarn which is less than 90% damaged;REPAIR
use the repair tool that is 10 percent damaged to repair the blue shoe;REPAIR
repair the sole of the black_sneaker2 with the sole_glue_5 that is maximal 15% damage;REPAIR
fix the s_4 using needle and yarn with at most 20% damage;REPAIR
restore the material of the brown suede sandal with sole_hammer that has maximum 25 percent damaged;REPAIR
use the repair tool which is less than 30% damaged to repair the green shoe;REPAIR
repair the sole of the yellow_sneaker_6 with the needle_and_yarn_1 that is 40 % damaged;REPAIR
fix the s_1 using sole hammer that is maximal 50 percent damaged;REPAIR
restore the material of the blue suede sandal with sole_glue with at most 60% damage;REPAIR
use the repair tool that has maximum 70% damage to repair the black shoe;REPAIR
repair the sole of the white_sneaker_1 with the sole_hammer_5 which is less than 80 percent damaged;REPAIR
fix the s_5 using sole glue that is 90 % damaged;REPAIR
restore the material of the green suede sandal with needle_and_yarn that is maximal 10% damaged;REPAIR
use the repair tool with at most 15 percent damage to repair the yellow shoe;REPAIR
repair the sole of the red_sneaker_5 with the sole_glue_1 that has maximum 20% damage;REPAIR
protect the boot with spray when fullness is above 70%;IMPREGNATE
impregnate the sneaker with cream if fullness is not below 60%;IMPREGNATE
clean the sandal with cleaner when fullness is over 40 percent;CLEAN
repair the boot with glue when damage is below 25 %;REPAIR
repair the shoe with hammer if damage does not exceed 30 percent;REPAIR
fix the sandal with needle and yarn when damage is under 15%;REPAIR
